(863657074696F6,0.6772430411026018)
(7863657074696F,0.6772430411026018)
(57863657074696,0.6772430411026018)
(45786365707469,0.6772430411026018)
(63657074696F6E,0.6772430411026018)
(6C6C0000000000,0.574844379651946)
(46C6C000000000,0.49246690357100087)
(646C6C00000000,0.361317890261839)
(65644578636570,0.306955211490082)
(44578636570746,0.306955211490082)
(56445786365707,0.306955211490082)
(64457863657074,0.306955211490082)
(00000020000002,0.27914760619602275)
(2E646C6C000000,0.27914760619602275)
(E646C6C0000000,0.27914760619602275)
(C6564457863657,0.25809095908692026)
(556E68616E646C,0.25809095908692026)
(6C656445786365,0.25809095908692026)
(656374696F6E00,0.25809095908692026)
(E68616E646C656,0.25809095908692026)
(56E68616E646C6,0.25809095908692026)
(6E68616E646C65,0.25809095908692026)
(68616E646C6564,0.25809095908692026)
(8616E646C65644,0.25809095908692026)
(616E646C656445,0.25809095908692026)
(00000000E1FBA0,0.23007351556696556)
(4E454C33322E64,0.23007351556696554)
(24E454C33322E6,0.23007351556696554)
(00000600000000,0.21685485895602108)
(800000000E1FBA,0.21685485895602108)
(40000000040000,0.2138512954941012)
(696E6174655072,0.2138512954941012)
(F6365737349640,0.2138512954941012)
(C6C00000000000,0.2138512954941012)
(30000000000200,0.2138512954941012)
(F5F7365745F617,0.2138512954941012)
(0000004B45524E,0.2138512954941012)
(646C6564457863,0.2138512954941012)
(005F5F6765746D,0.2138512954941012)
(7365745F617070,0.2138512954941012)
(6E646C65644578,0.2138512954941012)
(6D617468657272,0.2138512954941012)
(656E7450726F63,0.2138512954941012)
(16E646C6564457,0.2138512954941012)
(6C000000000000,0.2138512954941012)
(F5F6765746D616,0.2138512954941012)
(63657373496400,0.2138512954941012)
(5F5F6765746D61,0.2138512954941012)
(5F6765746D6169,0.2138512954941012)
(48000000000000,0.2138512954941012)
(365745F6170705,0.2138512954941012)
(00000004B45524,0.2138512954941012)
(1746550726F636,0.2138512954941012)
(272656E7450726,0.2138512954941012)
(57272656E74507,0.2138512954941012)
(2656E7450726F6,0.2138512954941012)
(E646C656445786,0.2138512954941012)
(56E7450726F636,0.2138512954941012)
(46C65644578636,0.2138512954941012)
(7272656E745072,0.2138512954941012)
(6F636573734964,0.2138512954941012)
(96E61746550726,0.2138512954941012)
(5F5F7365745F61,0.2138512954941012)
(5F7365745F6170,0.2138512954941012)
(0000000004B455,0.2138512954941012)
(61746550726F63,0.2138512954941012)
(E61746550726F6,0.2138512954941012)
(65745F6170705F,0.2138512954941012)
(72656E7450726F,0.2138512954941012)
(757272656E7450,0.2138512954941012)
(000000004B4552,0.2138512954941012)
(6E7450726F6365,0.2138512954941012)
(E7450726F63657,0.2138512954941012)
(6E61746550726F,0.2138512954941012)
(454C33322E646C,0.18667878584500652)
(54C33322E646C6,0.18667878584500652)
(6550726F636573,0.18667878584500652)
(550726F6365737,0.18667878584500652)
(0047657450726F,0.18667878584500652)
(000000000E0000,0.18667878584500652)
(E454C33322E646,0.18667878584500652)
(4C33322E646C6C,0.18667878584500652)
(65616449640000,0.17363515457740863)
(F696E697474657,0.17363515457740863)
(402E72656C6F63,0.17363515457740863)
(6765746D61696E,0.17363515457740863)
(170705F7479706,0.17363515457740863)
(70705F74797065,0.17363515457740863)
(705F7479706500,0.17363515457740863)
(6696C6554696D6,0.17363515457740863)
(696E6974746572,0.17363515457740863)
(5F657869740000,0.17363515457740863)
(7000740069006F,0.17363515457740863)
(46696C6554696D,0.17363515457740863)
(54687265616449,0.17363515457740863)
(0402E72656C6F6,0.17363515457740863)
(72656164496400,0.17363515457740863)
(5F747970650000,0.17363515457740863)
(61696E61726773,0.17363515457740863)
(765746D61696E6,0.17363515457740863)
(1696E617267730,0.17363515457740863)
(F6170705F74797,0.17363515457740863)
(68726561644964,0.17363515457740863)
(46872656164496,0.17363515457740863)
(4757365726D617,0.17363515457740863)
(00000040000002,0.17363515457740863)
(696C6554696D65,0.17363515457740863)
(F7365745F61707,0.17363515457740863)
(757365726D6174,0.17363515457740863)
(5F6170705F7479,0.17363515457740863)
(5F696E69747465,0.17363515457740863)
(74757365726D61,0.17363515457740863)
(745F6170705F74,0.17363515457740863)
(696E6172677300,0.17363515457740863)
(F6765746D61696,0.17363515457740863)
(05F5F6765746D6,0.17363515457740863)
(65746D61696E61,0.17363515457740863)
(5745F6170705F7,0.17363515457740863)
(05F74797065000,0.17363515457740863)
(00402E72656C6F,0.17363515457740863)
(26561644964000,0.17363515457740863)
(00000024000000,0.17363515457740863)
(6170705F747970,0.17363515457740863)
(26F63657373496,0.17363515457740863)
(000740069006F0,0.17363515457740863)
(00004000000004,0.17363515457740863)
(45F6170705F747,0.17363515457740863)
(7072696E746600,0.17363515457740863)
(0000000000003C,0.17363515457740863)
(00003000000000,0.17293671805157174)
(00000000006000,0.17293671805157174)
(00000000060000,0.16694872920480214)
(00000300000000,0.16694872920480208)
(00020000000000,0.1481473868466773)
(00300000000000,0.14814738684667728)
(0000400000402E,0.14814738684667728)
(46550726F63657,0.14814738684667728)
(46696C74657200,0.14814738684667728)
(744D6F64756C65,0.14814738684667728)
(00000080000000,0.14814738684667728)
(746550726F6365,0.14814738684667728)
(60000000000000,0.1370391979884841)
(01000001000000,0.1370391979884841)
(400000402E7265,0.13703919798848407)
(27261727941000,0.13703919798848407)
(0705F747970650,0.13703919798848407)
(72617279410000,0.13703919798848407)
(04200000000000,0.13703919798848407)
(04400000001005,0.13703919798848407)
(00420000000000,0.13703919798848407)
(6C006500440065,0.13703919798848407)
(06500440065007,0.13703919798848407)
(C0065004400650,0.13703919798848407)
(69627261727941,0.13703919798848407)
(42000000000000,0.13703919798848407)
(70007900720069,0.13703919798848407)
(07900720069006,0.13703919798848407)
(F0070007900720,0.13703919798848407)
(F5F73657475736,0.13703919798848407)
(32000000000000,0.13703919798848407)
(C6962726172794,0.13703919798848407)
(00044000000010,0.13703919798848407)
(00690070007400,0.13703919798848407)
(00700074006900,0.13703919798848407)
(79007200690067,0.13703919798848407)
(9006C006500440,0.13703919798848407)
(00004400000001,0.13703919798848407)
(5F5F7365747573,0.13703919798848407)
(90072006900670,0.13703919798848407)
(00400000000400,0.13703919798848407)
(006C0065004400,0.13703919798848407)
(0000001E000000,0.13703919798848407)
(00040000000040,0.13703919798848407)
(40000000100560,0.13703919798848407)
(0400000402E726,0.13703919798848407)
(00042000000000,0.13703919798848407)
(746D61696E6172,0.13703919798848407)
(6D61696E617267,0.13703919798848407)
(00004200000000,0.13703919798848407)
(00650044006500,0.13703919798848407)
